Sat Sep 22 00:03:03 CDT 2018 No match SCID
Sat Sep 22 00:03:06 CDT 2018 waiting for SCID
Sat Sep 22 00:03:06 CDT 2018 No match SCID
Sat Sep 22 00:03:09 CDT 2018 waiting for SCID
Sat Sep 22 00:03:09 CDT 2018 No match SCID
Sat Sep 22 00:03:12 CDT 2018 waiting for SCID
Sat Sep 22 00:03:12 CDT 2018 Matched SCID
Sat Sep 22 00:03:12 CDT 2018 Act SCID Logout
Sat Sep 22 00:03:17 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:03:17 CDT 2018 No match SCIDLO
Sat Sep 22 00:03:21 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:03:21 CDT 2018 No match SCIDLO
Sat Sep 22 00:03:25 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:03:26 CDT 2018 Matched SCIDLO
Sat Sep 22 00:03:26 CDT 2018 Act SCIDLO Confirm
Sat Sep 22 00:03:34 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:03:34 CDT 2018 No match SCIDCFS
Sat Sep 22 00:03:37 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:03:37 CDT 2018 No match SCIDCFS
Sat Sep 22 00:03:40 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:03:40 CDT 2018 No match SCIDCFS
Sat Sep 22 00:03:43 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:03:43 CDT 2018 No match SCIDCFS
Sat Sep 22 00:03:46 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:03:46 CDT 2018 No match SCIDCFS
Sat Sep 22 00:03:53 CDT 2018 waiting for Home
Sat Sep 22 00:03:53 CDT 2018 No match Home
Sat Sep 22 00:03:57 CDT 2018 waiting for Home
Sat Sep 22 00:03:57 CDT 2018 No match Home
Sat Sep 22 00:04:01 CDT 2018 waiting for Home
Sat Sep 22 00:04:01 CDT 2018 No match Home
Sat Sep 22 00:04:05 CDT 2018 waiting for Home
Sat Sep 22 00:04:05 CDT 2018 No match Home
Sat Sep 22 00:04:09 CDT 2018 waiting for Home
Sat Sep 22 00:04:09 CDT 2018 No match Home
Sat Sep 22 00:04:13 CDT 2018 waiting for Home
Sat Sep 22 00:04:13 CDT 2018 No match Home
Sat Sep 22 00:04:17 CDT 2018 waiting for Home
Sat Sep 22 00:04:17 CDT 2018 No match Home
Sat Sep 22 00:04:21 CDT 2018 waiting for Home
Sat Sep 22 00:04:21 CDT 2018 No match Home
Sat Sep 22 00:04:25 CDT 2018 waiting for Home
Sat Sep 22 00:04:25 CDT 2018 No match Home
Sat Sep 22 00:04:29 CDT 2018 waiting for Home
Sat Sep 22 00:04:29 CDT 2018 No match Home
Sat Sep 22 00:04:53 CDT 2018 no coc
Sat Sep 22 00:05:14 CDT 2018 waiting for Home
Sat Sep 22 00:05:14 CDT 2018 No match Home
Sat Sep 22 00:05:14 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:18 CDT 2018 waiting for Home
Sat Sep 22 00:05:18 CDT 2018 No match Home
Sat Sep 22 00:05:18 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:22 CDT 2018 waiting for Home
Sat Sep 22 00:05:22 CDT 2018 No match Home
Sat Sep 22 00:05:22 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:26 CDT 2018 waiting for Home
Sat Sep 22 00:05:26 CDT 2018 No match Home
Sat Sep 22 00:05:26 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:30 CDT 2018 waiting for Home
Sat Sep 22 00:05:30 CDT 2018 No match Home
Sat Sep 22 00:05:30 CDT 2018 skip check BuilderHome
